vertex	1	1 15 33
vertex	9	15 18 21 24 27 33
vertex	12	1 15 18 21 24 27 33 33
vertex	21	1 33

sector	0 16	 0 1 3 10 9             -1 -1 6 1 7
sector	2 40	 3 4 11 10               0 6 2 7 
sector	4 40	 4 5 12 11               1 6 3 7 
sector	6 40	 5 6 13 12               2 6 4 7 
sector	8 40	 6 7 14 13               3 6 5 7 
sector	10 40	 7 8 15 14               4 6 -1 7 
sector	12 40	 1 2 16 15 8 7 6 5 4 3   0 -1 -1 7 5 5 4 3 2 1
sector	14 40	 9 10 11 12 13 14 15 16 18 17   -1 0 1 2 3 4 5 6 -1 -1


player	8.591537 6.695286	-0.929999 0.15 0
